"","Type","Author","Year","Title","Country","Region","Region2","Species.1","Species.2","Species.3","Species.4","Species.5","Species.6","Subthreat.1a","Subthreat.1b","Subthreat.1c","Subthreat.2a","Subthreat.2b","Subthreat.3a","Subthreat.3b","Subthreat.4","Subthreat.5","Threat.1","Threat.2","Threat.3","Threat.4","Threat.5"
"816","Journal Article","M. Ben-David; T. Kondratyuk; B. R. Woodin; P. W. Snyder; J. J. Stegeman",2001,"Induction of cytochrome P450 1A1 expression in captive river otters fed Prudhoe Bay crude oil: evaluation by immunohistochemistry and quantitative RT-PCR","USA","North America","North America","Lontra canadensis","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"817","Journal Article","T. P. Traas; R. Luttik; O. Klepper; J. E. M. Beurskens; M. D. Smit; P. E. G. Leonards; A. G. M. van Hattum; T. Aldenberg",2001,"Congener-specific model for polychlorinated biphenyl effects on otter (Lutra lutra) and associated sediment quality criteria","Netherlands","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"818","Journal Article","A. Roos; E. Greyerz; M. Olsson; F. Sandegren",2001,"The otter (Lutra lutra) in Sweden - population trends in relation to Sigma DDT and total PCB concentrations during 1968-99","Sweden","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"819","Journal Article","R. A. McDonald; S. Harris",2002,"Population biology of stoats Mustela erminea and weasels Mustela nivalis on game estates in Great Britain","United Kingdom","Europe & Central Asia","Europe & Central Asia","Mustela nivalis","Mustela erminea","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"820","Journal Article","J. L. Bodkin; B. E. Ballachey; T. A. Dean; A. K. Fukuyama; S. C. Jewett; L. McDonald; D. H. Monson; C. E. O'Clair; G. R. VanBlaricom",2002,"Sea otter population status and the process of recovery from the 1989 'Exxon Valdez' oil spill","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"821","Journal Article","L. M. Rotterman; C. Monnett",2002,"Length-mass and total body length of adult female sea otters in Prince William Sound before and after the Exxon Valdez oil spill","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"822","Journal Article","M. Ben-David; G. M. Blundell; J. E. Blake",2002,"Post-release survival of river otters: Effects of exposure to crude oil and captivity","USA","North America","North America","Lontra canadensis","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"823","Journal Article","R. T. Bowyer; G. M. Blundell; M. Ben-David; S. C. Jewett; T. A. Dean; L. K. Duffy",2003,"Effects of the Exxon Valdez oil spill on river otters: Injury and recovery of a sentinel species","USA","North America","North America","Lontra canadensis","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"824","Journal Article","B. E. Ballachey; J. L. Bodkin; S. Howlin; A. M. Doroff; A. H. Rebar",2003,"Correlates to survival of juvenile sea otters in Prince William Sound, Alaska, 1992-1993","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"825","Journal Article","A. M. Barbosa; R. Real; J. Olivero; J. M. Vargas",2003,"Otter (Lutra lutra) distribution modeling at two resolution scales suited to conservation planning in the Iberian Peninsula","Spain","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Unspecified","","","","","","","","","Pollution","","","",""
"826","Journal Article","C. Fournier-Chambrillon; P. J. Berny; O. Coiffier; P. Barbedienne; B. Dasse; G. Delas; H. Galineau; A. Mazet; P. Pouzenc; R. Rosoux; P. Fournier",2004,"Evidence of secondary poisoning of free-ranging riparian mustelids by anticoagulant rodenticides in France: Implications for conservation of European mink (Mustela lutreola)","France","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"827","Journal Article","L. R. Gerber; K. E. Buenau; G. R. Vanblaricom",2004,"Density dependence and risk of extinction in a small population of sea otters","USA","North America","North America","Enhydra lutris","","","","","","","","","","","","","","","Pollution","","","",""
"828","Journal Article","E. Alleva; N. Francia; M. Pandolfi; A. M. De Marinis; F. Chiarotti; D. Santucci",2006,"Organochlorine and heavy-metal contaminants in wild mammals and birds of Urbino-Pesaro province, Italy: An analytic overview for potential bioindicators","Italy","Europe & Central Asia","Europe & Central Asia","Martes foina","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"829","Journal Article","P. A. Martin; T. V. McDaniel; B. Hunter",2006,"Temporal and spatial trends in chlorinated hydrocarbon concentrations of mink in Canadian Lakes Erie and St. Clair","Canada","North America","North America","Neovison vison","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"830","Journal Article","H. I. Jager; E. A. Carr; R. A. Efroymson",2006,"Simulated effects of habitat loss and fragmentation on a solitary mustelid predator","USA","North America","North America","Taxidea taxus","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"831","Journal Article","P. D. Boehm; D. S. Page; J. M. Neff; C. B. Johnson",2007,"Potential for sea otter exposure to remnants of buried oil from the exxon valdez oil spill","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"832","Journal Article","M. Levin; H. Leibrecht; C. Mori; D. Jessup; S. De Guise",2007,"Immunomodulatory effects of organochlorine mixtures upon in vitro exposure of peripheral blood leukocytes differ between free-ranging and captive southern sea otters (Enhydra lutris)","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"833","Journal Article","A. M. Scheulhammer; M. W. Meyer; M. B. Sandheinrich; M. W. Murray",2007,"Effects of environmental methylmercury on the health of wild birds, mammals, and fish","USA / Canada","North America","North America","Lontra canadensis","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"834","Journal Article","C. Lemarchand; C. Amblard; Y. Souchon; P. Berny",2007,"Organochlorine compounds (pesticides and PCBs) in scats of the european otter (Lutra lutra) from an actual expanding population in central france","France","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Agricultural & forestry effluents","Industrial & military effluents","","","","","","","","Pollution","","","",""
"835","Journal Article","J. Millan; R. Mateo; M. A. Taggart; J. V. Lopez-Bao; M. Viota; L. Monsalve; P. R. Camarero; E. Blazquez; B. Jimenez",2008,"Levels of heavy metals and metalloids in critically endangered Iberian lynx and other wild carnivores from Southern Spain","Spain","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"836","Journal Article","F. C. Mohr; B. Lasley; S. Bursian",2008,"Chronic oral exposure to bunker C fuel oil causes adrenal insufficiency in ranch mink (Neovison vison)","USA","North America","North America","Enhydra lutris","Neovison vison","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"837","Journal Article","A. C. Bejarano; F. M. VanDola; F. M. Gulland; T. K. Rowles; L. H. Schwacke",2008,"Production and toxicity of the marine biotoxin domoic acid and its effects on wildlife: A review","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"838","Journal Article","J. E. Elliott; D. A. Guertin; J. M. E. Balke",2008,"Chlorinated hydrocarbon contaminants in feces of river otters from the southern Pacific coast of Canada, 1998-2004","Canada","North America","North America","Lontra canadensis","","","","","","Industrial & military effluents","Agricultural & forestry effluents","","","","","","","","Pollution","","","",""
"839","Journal Article","J. Lanszki; E. Orosz; L. Sugar",2009,"Metal levels in tissues of Eurasian otters (Lutra lutra) from Hungary: Variation with sex, age, condition and location","Hungary","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"840","Journal Article","M. Delibes; S. Cabezas; B. Jimenez; M. J. Gonzalez",2009,"Animal decisions and conservation: the recolonization of a severely polluted river by the Eurasian otter","Spain","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"841","Journal Article","M. A. Ricca; A. K. Miles; B. E. Ballachey; J. L. Bodkin; D. Esler; K. A. Trust",2010,"PCB exposure in sea otters and harlequin ducks in relation to history of contamination by the Exxon Valdez oil spill","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"842","Journal Article","D. A. Guertin; A. S. Harestad; M. Ben-David; K. G. Drouillard; J. E. Elliott",2010,"FECAL GENOTYPING AND CONTAMINANT ANALYSES REVEAL VARIATION IN INDIVIDUAL RIVER OTTER EXPOSURE TO LOCALIZED PERSISTENT CONTAMINANTS","Canada","North America","North America","Lontra canadensis","","","","","","Industrial & military effluents","Agricultural & forestry effluents","","","","","","","","Pollution","","","",""
"843","Journal Article","D. A. Guertin; A. S. Harestad; J. E. Elliott",2010,"Summer Feeding Habits of River Otters Inhabiting a Contaminated Coastal Marine Environment","Canada","North America","North America","Lontra canadensis","","","","","","Industrial & military effluents","Agricultural & forestry effluents","","","","","","","","Pollution","","","",""
"844","Journal Article","C. Lemarchand; R. Rosoux; P. Berny",2010,"Organochlorine pesticides, PCBs, heavy metals and anticoagulant rodenticides in tissues of Eurasian otters (Lutra lutra) from upper Loire River catchment (France)","France","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","Agricultural & forestry effluents","","","","","","","","Pollution","","","",""
"845","Journal Article","H. Christensen; T. M. Heggberget; A. C. Gutleb",2010,"Polychlorinated Biphenyls and Reproductive Performance in Otters From the Norwegian Coast","Norway","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"846","Journal Article","K. A. Harris; L. M. Nichol; P. S. Ross",2011,"HYDROCARBON CONCENTRATIONS AND PATTERNS IN FREE-RANGING SEA OTTERS (ENHYDRA LUTRIS) FROM BRITISH COLUMBIA, CANADA","Canada","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"847","Journal Article","D. H. Monson; D. F. Doak; B. E. Ballachey; J. L. Bodkin",2011,"Could residual oil from the Exxon Valdez spill create a long-term population sink"" for sea otters in Alaska?""","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"848","Journal Article","J. M. Neff; D. S. Page; P. D. Boehm",2011,"EXPOSURE OF SEA OTTERS AND HARLEQUIN DUCKS IN PRINCE WILLIAM SOUND, ALASKA, USA, TO SHORELINE OIL RESIDUES 20 YEARS AFTER THE EXXON VALDEZ OIL SPILL","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"849","Journal Article","S. H. Spencer; D. Shutler; M. S. O'Brien",2011,"CORRELATES OF MERCURY IN FEMALE RIVER OTTERS (LONTRA CANADENSIS) FROM NOVA SCOTIA, CANADA","Canada","North America","North America","Lontra canadensis","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"850","Journal Article","E. A. Chadwick; V. R. Simpson; A. E. L. Nicholls; F. M. Slater",2011,"Lead Levels in Eurasian Otters Decline with Time and Reveal Interactions between Sources, Prevailing Weather, And Stream Chemistry","United Kingdom","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"851","Journal Article","M. W. Gabriel; L. W. Woods; R. Poppenga; R. A. Sweitzer; C. Thompson; S. M. Matthews; J. M. Higley; S. M. Keller; K. Purcell; R. H. Barrett; G. M. Wengert; B. N. Sacks; D. L. Clifford",2012,"Anticoagulant Rodenticides on our Public and Community Lands: Spatial Distribution of Exposure and Poisoning of a Rare Forest Carnivore","USA","North America","North America","Pekania pennanti","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"852","Journal Article","J. L. Bodkin; B. E. Ballachey; H. A. Coletti; G. G. Esslinger; K. A. Kloecker; S. D. Rice; J. A. Reed; D. H. Monson",2012,"Long-term effects of the 'Exxon Valdez' oil spill: sea otter foraging in the intertidal as a pathway of exposure to lingering oil","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"853","Journal Article","M. Delibes; J. Calzada; M. Clavero; N. Fernandez; C. Gutierrez-Exposito; E. Revilla; J. Roman",2012,"The Near Threatened Eurasian otter Lutra lutra in Morocco: no sign of recovery","Morocco","Middle East & North Africa","Middle East & North Africa","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"854","Journal Article","R. Mateo; J. Milian; J. Rodriguez-Estival; P. R. Camarero; F. Palomares; M. E. Ortiz-Santaliestra",2012,"Levels of organochlorine pesticides and polychlorinated biphenyls in the critically endangered Iberian lynx and other sympatric carnivores in Spain","Spain","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"855","Journal Article","R. Romero; J. Guitian; J. Ruiz-Olmo",2012,"Changes in the diet of coastal otters after the Prestige oil spill (Galicia, north-west Spain)","Spain","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"856","Journal Article","A. M. Roos; B. Backlin; B. O. Helander; F. E. Riget; U. C. Eriksson",2012,"Improved reproductive success in otters (Lutra lutra), grey seals (Halichoerus grypus) and sea eagles (Haliaeetus albicilla) from Sweden in relation to concentrations of organochlorine contaminants","Sweden","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"857","Journal Article","B. E. Ballachey; J. L. Bodkin; D. H. Monson",2013,"Quantifying long-term risks to sea otters from the 1989 'Exxon Valdez' oil spill: Reply to Harwell & Gentile (2013) Reply COMMENT","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"858","Journal Article","M. A. Harwell; J. H. Gentile",2013,"Quantifying long-term risks to sea otters from the 1989 'Exxon Valdez' oil spill: Comment on Bodkin et al. (2012) COMMENT","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"859","Journal Article","N. N. Ramos-Rosas; C. Valdespino; J. Garcia-Hernandez; J. P. Gallo-Reynoso; E. J. Olguin",2013,"Heavy metals in the habitat and throughout the food chain of the Neotropical otter, Lontra longicaudis, in protected Mexican wetlands","Mexico","Latin America & Caribbean","Latin America","Lontra longicaudis","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"860","Journal Article","A. Roos; U. Berger; U. Jarnberg; J. van Dijk; A. Bignert",2013,"Increasing Concentrations of Perfluoroalkyl Acids in Scandinavian Otters (Lutra lutra) between 1972 and 2011: A New Threat to the Otter Population?","Scandinavia","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"861","Journal Article","C. Thompson; R. Sweitzer; M. Gabriel; K. Purcell; R. Barrett; R. Poppenga",2014,"Impacts of Rodenticide and Insecticide Toxicants from Marijuana Cultivation Sites on Fisher Survival Rates in the Sierra National Forest, California","USA","North America","North America","Pekania pennanti","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"862","Journal Article","B. A. Rattner; R. S. Lazarus; J. E. Elliott; R. F. Shore; N. van den Brink",2014,"Adverse Outcome Pathway and Risks of Anticoagulant Rodenticides to Predatory Wildlife","USA","North America","North America","Mustela nigripes","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"863","Journal Article","A. Geduhn; A. Esther; D. Schenke; H. Mattes; J. Jacob",2014,"Spatial and temporal exposure patterns in non-target small mammals during brodifacoum rat control","Europe","Europe & Central Asia","Europe & Central Asia","Mustela nivalis","Mustela erminea","Mustela putorius","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"864","Journal Article","M. A. Harwell; J. H. Gentile",2014,"Assessing Risks to Sea Otters and the Exxon Valdez Oil Spill: New Scenarios, Attributable Risk, and Recovery","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"865","Journal Article","A. Pountney; A. L. Filby; G. O. Thomas; V. R. Simpson; E. A. Chadwick; J. R. Stevens; C. R. Tyler",2015,"High liver content of polybrominated diphenyl ether (PBDE) in otters (Lutra lutra) from England and Wales","United Kingdom","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"866","Journal Article","S. Kang; J. H. Kang; S. Kim; S. H. Lee; S. Lee; H. J. Yu; S. J. Oh; J. D. Park; K. H. Nam; S. Y. Han; J. D. Lim; D. Y. Ryu",2015,"Trace element analysis of three tissues from Eurasian otters (Lutra lutra) in South Korea","South Korea","East Asia & Pacific","East Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"867","Journal Article","G. W. Witmer; N. P. Snow; R. S. Moulton",2016,"Retention time of chlorophacinone in black-tailed prairie dogs informs secondary hazards from a prairie dog rodenticide bait","USA","North America","North America","Mustela nigripes","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"868","Journal Article","L. Bowen; A. K. Miles; B. Ballachey; S. Waters; J. Bodkin",2016,"Gene Transcript Profiling in Sea Otters Post-Exxon Valdez Oil Spill: A Tool for Marine Ecosystem Health Assessment","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"869","Journal Article","E. K. Peterson; B. A. Schulte",2016,"Impacts of Pollutants on Beavers and Otters with Implications for Ecosystem Ramifications","Global","Global","Global","Lutra lutra","Lontra canadensis","","","","","Industrial & military effluents","Agricultural & forestry effluents","","","","","","","","Pollution","","","",""
"870","Journal Article","S. Pagacz",2016,"The effect of a major drainage divide on the gene flow of a semiaquatic carnivore, the Eurasian otter","Poland / Slovakia","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"871","Journal Article","P. J. Thomas; K. M. Eccles; L. J. Mundy",2017,"Spatial modelling of non-target exposure to anticoagulant rodenticides can inform mitigation options in two boreal predators inhabiting areas with intensive oil and gas development","Canada","North America","North America","Pekania pennanti","Martes americana","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"872","Journal Article","M. Elmeros; P. Lassen; R. Bossi; C. J. Topping",2018,"Exposure of stone marten (Martes foina) and polecat (Mustela putorius) to anticoagulant rodenticides: Effects of regulatory restrictions of rodenticide use","Denmark","Europe & Central Asia","Europe & Central Asia","Martes foina","Mustela putorius","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"873","Journal Article","K. A. Sainsbury; R. F. Shore; H. Schofield; E. Croose; M. G. Pereira; D. Sleep; A. C. Kitchener; G. Hantke; R. A. McDonald",2018,"Long-term increase in secondary exposure to anticoagulant rodenticides in European polecats &ITMustela putorius&IT in Great Britain","United Kingdom","Europe & Central Asia","Europe & Central Asia","Mustela putorius","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"874","Journal Article","C. Sutherland; A. K. Fuller; J. A. Royle; S. Madden",2018,"Large-scale variation in density of an aquatic ecosystem indicator species","USA","North America","North America","Neovison vison","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"875","Journal Article","D. Esler; B. E. Ballachey; C. Matkin; D. Cushing; R. Kaler; J. Bodkin; D. Monson; G. Esslinger; K. Kloecker",2018,"Timelines and mechanisms of wildlife population recovery following the Exxon Valdez oil spill","USA","North America","North America","Enhydra lutris","Lontra canadensis","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"876","Journal Article","S. M. Crowley; D. P. Hodder; C. J. Johnson; D. Yates",2018,"Wildlife health indicators and mercury exposure: A case study of river otters (Lontra canadensis) in central British Columbia, Canada","Canada","North America","North America","Lontra canadensis","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"877","Journal Article","A. C. Huang; C. Nelson; J. E. Elliott; D. A. Guertin; C. Ritland; K. Drouillard; K. M. Cheng; H. M. Schwantje",2018,"River otters (Lontra canadensis) trapped"" in a coastal environment contaminated with persistent organic pollutants: Demographic and physiological consequences""","Canada","North America","North America","Lontra canadensis","","","","","","Industrial & military effluents","Agricultural & forestry effluents","","","","","","","","Pollution","","","",""
"878","Journal Article","M. Thiel; G. Luna-Jorquera; R. Alvarez-Varas; C. Gallardo; I. A. Hinojosa; N. Luna; D. Miranda-Urbina; N. Morales; N. Ory; A. S. Pacheco; M. Portflitt-Toro; C. Zavalaga",2018,"Impacts of Marine Plastic Pollution From Continental Coasts to Subtropical Gyres-Fish, Seabirds, and Other Vertebrates in the SE Pacific","South America","Latin America & Caribbean","Latin America","Lontra felina","","","","","","Garbage & solid waste","","","","","","","","","Pollution","","","",""
"879","Journal Article","L. R. de Almeida; M. J. R. Pereira",2018,"Influence of the water quality on the occurrence of the Neotropical otter (Lontra longicaudis) (Olfers, 1818) in a human-altered river basin","Brazil","Latin America & Caribbean","Latin America","Lontra longicaudis","","","","","","unspecified","","","","","","","","","Pollution","","","",""
"880","Journal Article","L. E. K. Serieys; J. Bishop; N. Okes; J. Broadfield; D. J. Winterton; R. H. Poppenga; S. Viljoen; R. K. Wayne; M. J. O'Riain",2019,"Widespread anticoagulant poison exposure in predators in a rapidly growing South African city","South Africa","Sub-Saharan Africa","Sub-Saharan Africa","Aonyx capensis","Mellivora capensis","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"881","Journal Article","C. Young; T. Eguchi; J. A. Ames; M. Staedler; B. B. Hatfield; M. Harris; E. A. Golson-Fisch",2019,"Drift and beaching patterns of sea otter carcasses and car tire dummies","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"882","Journal Article","J. C. Witt; M. C. Spriggs; T. Veverica; C. Steffes; J. Bump",2020,"BIOACCUMULATION OF MERCURY IN A TERRESTRIAL CARNIVORE, AMERICAN MARTEN (MARTES AMERICANA)","USA","North America","North America","Martes americana","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"883","Journal Article","C. C. Liu; C. H. Chi; S. C. Yen; J. N. Liu; Y. T. Ju; C. L. Kang; C. H. Chang; P. H. Yu",2020,"BLOOD LEAD AND ZINC LEVELS AND THEIR IMPACT ON HEALTH OF FREE-LIVING SMALL CARNIVORES IN TAIWAN, REPUBLIC OF CHINA","Taiwan","East Asia & Pacific","East Asia","Melogale moschata","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"884","Journal Article","V. Baudrot; J. Fernandez-de-Simon; M. Coeurdassier; G. Couval; P. Giraudoux; X. Lambin",2020,"Trophic transfer of pesticides: The fine line between predator-prey regulation and pesticide-pest regulation","France","Europe & Central Asia","Europe & Central Asia","Mustela nivalis","Mustela erminea","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"885","Journal Article","C. W. Sanders; K. Pacifici; G. R. Hess; C. Olfenbuttel; C. S. DePerno",2020,"Metal contamination of river otters in North Carolina","USA","North America","North America","Lontra canadensis","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"886","Otter Bulletin article","",1987,"Contaminant Research in Canada","Canada","North America","","Lontra canadensis","","","","","","Not specified","","","","","","","","","Pollution","","","",""
"887","Otter Bulletin article","",1987,"The Current Status of the Sea Otter Population in California (December 1986)","USA","North America","","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"888","Otter Bulletin article","",1987,"First Data on Contamination of Otters in the Netherlands","Netherlands","Europe & Central Asia","","Lutra lutra","","","","","","Industrial & military effluents","Agricultural & forestry effluents","","","","","","","","Pollution","","","",""
"889","Otter Bulletin article","",1987,"Organochlorine Residues in Otter Spraints from Hungary","Hungary","Europe & Central Asia","","Lutra lutra","","","","","","Not specified","","","","","","","","","Pollution","","","",""
"890","Otter Bulletin article","",1988,"Otter Studies in Finland","Finland","Europe & Central Asia","","Lutra lutra","","","","","","Not specified","","","","","","","","","Pollution","","","",""
"891","Otter Bulletin article","",1989,"Assessment of Pollution Risk for the Remaining Otter Populations in Lower Saxony, West Germany","Germany","Europe & Central Asia","","Lutra lutra","","","","","","Not specified","","","","","","","","","Pollution","","","",""
"892","Otter Bulletin article","",1989,"Contamination of an Otter found Dead in the F.R.G","Germany","Europe & Central Asia","","Lutra lutra","","","","","","Not specified","","","","","","","","","Pollution","","","",""
"893","Otter Bulletin article","Anthony R. DeGrange",1990,"The oil spill in Prince William Sound, Alaska 2","USA","North America","","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"894","Otter Bulletin article","Darius Weber",1990,"The End of the Otter and of Otter Reintroduction Plans in Switzerland","Switzerland","Europe & Central Asia","","Lutra lutra","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"895","Otter Bulletin article","Lionel Lafontaine, Guy Joncour and Patrick Menanteau",1990,"Otters and bio-accumulating pollutants: first data for western France","France","Europe & Central Asia","","Lutra lutra","","","","","","Agricultural & forestry effluents","Industrial & military effluents","","","","","","","","Pollution","","","",""
"896","Otter Bulletin article","Donald R. Smith, A Russel Flegal and James A. Estes",1991,"Lead in Sea Otters","USA","North America","","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"897","Otter Bulletin article","Ildiko Kemenes",1991,"Otter Distribution, Status and Conservation Problems in Hungary","Hungary","Europe & Central Asia","","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"898","Otter Bulletin article","Arno C Gutleb",1992,"The Otter in Austria: a Review of the Current State of Research","Austria","Europe & Central Asia","","Lutra lutra","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"899","Otter Bulletin article","James A. Estes",1992,"Catastrophes and Conservation: Lessons from Sea Otters and the Exxon Valdez","USA","North America","","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"900","Otter Bulletin article","Arno C Gutleb, Christof Schenck and Elka Staib",1993,"Total Mercury and Methylmercury Levels in Fish from the Department Madre de Díos, Peru","Peru","Latin America & Caribbean","","Pteronura brasiliensis","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"901","Otter Bulletin article","Chris Mason",1993,"Organochlorine Contaminants in Spraints from Captive Otters","UK","Europe & Central Asia","","Lutra lutra","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"902","Otter Bulletin article","Chris Mason and Liam O'Sullivan",1993,"Relationships between PCBs in Otter Livers and Spraints from Gut and Environment","Ireland","Europe & Central Asia","","Lutra lutra","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"903","Otter Bulletin article","Claus Reuther",1993,"Aktion Fischotterschutz e. V. (German Campaign for Otter Protection): Activities 1992","Germany","Europe & Central Asia","","Lutra lutra","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"904","Otter Bulletin article","Václav Hlavá? and Ales Toman",1993,"Otter Distribution and Conservation in the Czech Republic","Czech Republic","Europe & Central Asia","","Lutra lutra","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"905","Otter Bulletin article","S.M. Macdonald and C.F. Mason",1994,"Pcbs and Organochlorine Pesticide Levels in Otter (Lutra Lutra) Scats from Eastern Scotland","UK","Europe & Central Asia","","Lutra lutra","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
